timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1632455888724,366,HTTP Request,200,OK,advancedThreadGroup 1-34,text,true,,2663,260,40,40,https://reqres.in/api/users?page=2,128,0,65
1632455888724,128,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-34,,true,,714,130,40,40,http://reqres.in/api/users?page=2,128,0,65
1632455888851,239,HTTP Request-1,200,OK,advancedThreadGroup 1-34,text,true,,1949,130,40,40,https://reqres.in/api/users?page=2,239,0,175
1632455888760,341,HTTP Request,200,OK,advancedThreadGroup 1-24,text,true,,2659,260,40,40,https://reqres.in/api/users?page=2,119,0,56
1632455888760,119,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-24,,true,,708,130,40,40,http://reqres.in/api/users?page=2,119,0,56
1632455888879,222,HTTP Request-1,200,OK,advancedThreadGroup 1-24,text,true,,1951,130,40,40,https://reqres.in/api/users?page=2,222,0,164
1632455888770,353,HTTP Request,200,OK,advancedThreadGroup 1-30,text,true,,2657,260,40,40,https://reqres.in/api/users?page=2,119,0,58
1632455888770,119,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-30,,true,,710,130,40,40,http://reqres.in/api/users?page=2,119,0,58
1632455888889,234,HTTP Request-1,200,OK,advancedThreadGroup 1-30,text,true,,1947,130,40,40,https://reqres.in/api/users?page=2,234,0,170
1632455888801,352,HTTP Request,200,OK,advancedThreadGroup 1-32,text,true,,2667,260,40,40,https://reqres.in/api/users?page=2,115,0,55
1632455888801,115,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-32,,true,,720,130,40,40,http://reqres.in/api/users?page=2,115,0,55
1632455888916,237,HTTP Request-1,200,OK,advancedThreadGroup 1-32,text,true,,1947,130,40,40,https://reqres.in/api/users?page=2,237,0,175
1632455888805,355,HTTP Request,200,OK,advancedThreadGroup 1-3,text,true,,2667,260,40,40,https://reqres.in/api/users?page=2,111,0,49
1632455888805,111,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-3,,true,,716,130,40,40,http://reqres.in/api/users?page=2,111,0,49
1632455888916,244,HTTP Request-1,200,OK,advancedThreadGroup 1-3,text,true,,1951,130,40,40,https://reqres.in/api/users?page=2,244,0,180
1632455888297,867,HTTP Request,200,OK,advancedThreadGroup 1-14,text,true,,2659,260,40,40,https://reqres.in/api/users?page=2,365,0,52
1632455888297,365,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-14,,true,,710,130,40,40,http://reqres.in/api/users?page=2,365,0,52
1632455888662,502,HTTP Request-1,200,OK,advancedThreadGroup 1-14,text,true,,1949,130,40,40,https://reqres.in/api/users?page=2,502,0,440
1632455888830,353,HTTP Request,200,OK,advancedThreadGroup 1-17,text,true,,2653,260,40,40,https://reqres.in/api/users?page=2,108,0,51
1632455888830,108,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-17,,true,,710,130,40,40,http://reqres.in/api/users?page=2,108,0,51
1632455888938,245,HTTP Request-1,200,OK,advancedThreadGroup 1-17,text,true,,1943,130,40,40,https://reqres.in/api/users?page=2,245,0,170
1632455888916,319,HTTP Request,200,OK,advancedThreadGroup 1-23,text,true,,2661,260,40,40,https://reqres.in/api/users?page=2,104,0,49
1632455888916,104,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-23,,true,,714,130,40,40,http://reqres.in/api/users?page=2,104,0,49
1632455889020,215,HTTP Request-1,200,OK,advancedThreadGroup 1-23,text,true,,1947,130,40,40,https://reqres.in/api/users?page=2,215,0,159
1632455888546,705,HTTP Request,200,OK,advancedThreadGroup 1-21,text,true,,2665,260,40,40,https://reqres.in/api/users?page=2,108,0,52
1632455888649,601,HTTP Request,200,OK,advancedThreadGroup 1-4,text,true,,2669,260,40,40,https://reqres.in/api/users?page=2,111,0,53
1632455888546,108,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-21,,true,,718,130,40,40,http://reqres.in/api/users?page=2,108,0,52
1632455888649,111,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-4,,true,,718,130,40,40,http://reqres.in/api/users?page=2,111,0,53
1632455888654,597,HTTP Request-1,200,OK,advancedThreadGroup 1-21,text,true,,1947,130,40,40,https://reqres.in/api/users?page=2,597,0,531
1632455888759,491,HTTP Request-1,200,OK,advancedThreadGroup 1-4,text,true,,1951,130,40,40,https://reqres.in/api/users?page=2,491,0,425
1632455888596,663,HTTP Request,200,OK,advancedThreadGroup 1-6,text,true,,2655,260,40,40,https://reqres.in/api/users?page=2,121,0,57
1632455888596,121,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-6,,true,,710,130,40,40,http://reqres.in/api/users?page=2,121,0,57
1632455888717,542,HTTP Request-1,200,OK,advancedThreadGroup 1-6,text,true,,1945,130,40,40,https://reqres.in/api/users?page=2,541,0,188
1632455888635,648,HTTP Request,200,OK,advancedThreadGroup 1-5,text,true,,2665,260,40,40,https://reqres.in/api/users?page=2,413,0,53
1632455888635,413,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-5,,true,,714,130,40,40,http://reqres.in/api/users?page=2,413,0,53
1632455889047,236,HTTP Request-1,200,OK,advancedThreadGroup 1-5,text,true,,1951,130,40,40,https://reqres.in/api/users?page=2,236,0,171
1632455888930,358,HTTP Request,200,OK,advancedThreadGroup 1-11,text,true,,2657,260,40,40,https://reqres.in/api/users?page=2,111,0,52
1632455888930,111,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-11,,true,,710,130,40,40,http://reqres.in/api/users?page=2,111,0,52
1632455889041,247,HTTP Request-1,200,OK,advancedThreadGroup 1-11,text,true,,1947,130,40,40,https://reqres.in/api/users?page=2,247,0,179
1632455888971,356,HTTP Request,200,OK,advancedThreadGroup 1-12,text,true,,2667,260,40,40,https://reqres.in/api/users?page=2,113,0,54
1632455888971,113,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-12,,true,,718,130,40,40,http://reqres.in/api/users?page=2,113,0,54
